;Lebewesen (Vorzeichen: das bedeutet nicht Antitranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);Beruf (Vorzeichen: das bedeutet nicht Antitranszendentalien, sondern gutartigkeit oder bösartigkeit anderen Religionen gegenüber);Kreativität und Intelligenz und andere Geisteskräfte (Vorzeichen: das bedeutet nicht Antitranszendentalien, sondern gutartigkeit oder bösartigkeit anderen Religionen gegenüber);Liebe (Vorzeichen: das bedeutet nicht Antitranszendentalien, sondern gutartigkeit oder bösartigkeit anderen Religionen gegenüber);Transzendentalien und Strukturalien ähnliche Sachen (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber), paradigmen-übergreifend (14) und meta-paradigmen-übergreifend (15);Primzahlkreuz von Leibnitz (Vorzeichen: das bedeutet nicht Antitranszendentalien, sondern gutartigkeit oder bösartigkeit anderen Religionen gegenüber);Männer / Frauen (IMHO) (Vorzeichen: das bedeutet nicht Antitranszendentalien, sondern gutartigkeit oder bösartigkeit anderen Religionen gegenüber);evolutionär erwerben  (Vorzeichen: das bedeutet nicht Antitranszendentalien, sondern gutartigkeit oder bösartigkeit anderen Religionen gegenüber);Religionen (Vorzeichen: das bedeutet nicht Antitranszendentalien, sondern gutartigkeit oder bösartigkeit anderen Religionen gegenüber);Motive (Vorzeichen: das bedeutet nicht Antitranszendentalien, sondern gutartigkeit oder bösartigkeit anderen Religionen gegenüber);analytische Ontologie (Vorzeichen: das bedeutet nicht Antitranszendentalien, sondern gutartigkeit oder bösartigkeit anderen Religionen gegenüber);Emotionen (Vorzeichen: das bedeutet nicht Antitranszendentalien, sondern gutartigkeit oder bösartigkeit anderen Religionen gegenüber);Berühmtheiten und Personen (Vorzeichen: das bedeutet nicht Antitranszendentalien, sondern gutartigkeit oder bösartigkeit anderen Religionen gegenüber);Mechanismen  (12) beim Züchten (Vorzeichen: das bedeutet nicht Antitranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);Gegen-Transzendentalien bzw. Gegen-Strukturalien (Vorzeichen: das bedeutet nicht Antitranszendentalien, sondern gutartigkeit oder bösartigkeit anderen Religionen gegenüber), paradigmen-übergreifend (14) und meta-paradigmen-übergreifend (15);kombinierte Wirtschaftssysteme;Maschinen, Geräte
2|1/3|1/10|1/16;Menschen (sehen überall spezielles konkretes. Wir sind äußerst stark fokussiert und wir können viele Fähigkeiten erlernen. [2], das sie definieren. Wir können alle Definitionen erlernen. [1/10], schaffen bessere Bedingungen. Wir können erlernen, was notwendig ist, um uns anzupassen. [1/3] zum Leben [z.B. Haus haben oder Höhle], und lassen sich eine Rolle [1/16] überstülpen, z.B. Müller oder Schmied sein) Wir können eine Rolle erlernen. (hier nicht Plural, da Rolle ein Universumwort ist).;;;;;;;;;;;;;;;;
1/2|7|10|1/10;;;Lyrik, Epik, Dramatik (ausführliche Art und Weise [1 / 2], Schönheit [7 mit 10], Definiitionen als Kodierung in Lyrik [1/10]);;das Allgemeine (größtenteils sicher);;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;Schönheit (100% sicher), mathematisch: Vektor aus Wahrheitswerten statt Zahlen (sehr sicher) (Das ist wohl die best gewählteste Beschreibung als Mathe-Objekt für Schönheit.) (Schönheit ist sowohl ein Galaxiebegriff, als auch ein Universumbegriff. Das ist hier wohl einmalig so.), Verallgemeinerung, die durch Wahrheit, bzw. Logik verifiziert wurde, das sind in der Informatik die meisten Generierungen von irgendetwas, z.B. Fraktale. Das entspricht Schönheit selbst.;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;"Idealismus (halb sicher) ;wahrscheinlich falsch: Naivität, Konstruktivität, Unbescholtenheit";;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;Mengen, die Richtungs-Arten und Richtungskategorien definieren (, statt Mengen, die Zahlen definieren, wie z.B. rationale oder natürliche Zahlen) und Richtungen die von Mengen ausgehen;;;;;;;;;;;;
;;;;;das Wohl, mathematisch der Vektor (beides 100% sicher);;;;;;;;;;;;
;;;;;Assent (Englisch, philosophisches Wort): Zulassung, Akzeptanz (alles größtenteils sicher);;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;sehr sicher: Realität, aber nicht unbedingt Wirklichkeit, d.h. z.B. u.a. (u.a. politische) Ideologien (nicht 100% sicher), die Direktive, die Weisung (nicht 100% sicher) (d.h. die Zustand einer Richtung wollen oder die Richtung eines Zustandes wollen), Ein Zustandsautomat mit gerichteten Kanten (nicht 100% sicher), mathematisch: Zustandsautomat mit gerichteten Kanten oder Graph mit Gerichteten Kanten oder ein Gametree (Spieltheorie und klassische Logik-KI) mit gerichteten Kanten (sehr sicher);;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;Vollkommenheit (nicht genau genug beschrieben);;;;;;;;;;;;
;;;;;das Besondere, mathematisch: ganze Zahlen und natürliche Zahlen und alle einfachen diskreten Werte, z.B. die n Apostel oder die n Todsünden oder n Stämme Israels (d.h. das Besondere!) (alles das größtenteils sicher);;;;;;;;;;;;
;;;;;das Sonderbare (halbwegs sicher);;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;"Der dimensionale, „metrische oder normierte“  Raum (sicher); die Bestimmung im Sinne von Schicksal (größtenteils sicher); die Norm und die Metrik (größtenteils sicher)";;;;;;;;;;;;
;;;;;Einzigartigkeit (größtenteils sicher);;;;;;;;;;;;
;;;;;jegliches Alles (nicht sicher);;;;;;;;;;;;
;;;;;das Gute selbst (nicht sicher);;;;;;;;;;;;
;;;;;Phantasie (nicht sicher);;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;"„Erfolg“ und mathematisch gesehen: die Einheit aus Zahlen, wie Einheiten aus der Physik oder BWL (sehr sicher), eine Einheit (9), mehrere Belegungen von Zahlen (6) möglich; Strukturalie als Wort: Erfolg (halbwegs sicher)";;;;;;;;;;;;
;;;;;Realismus, d.h. die Realität von Wirklichkeit und die Wirklichkeit von Realität (halbwegs sicher);;;;;;;;;;;;
;;;;;keine Ahnung, ob das stimmt: Eigenheit;;;;;;;;;;;;
;;;;;keine Ahnung, ob das stimmt: Modelle;;;;;;;;;;;;
;;;;;keine Ahnung, ob das stimmt: Tatsächlichkeit;;;;;;;;;;;;
;;;;;die einzige, nicht nur das eine, aller wichtigste Sache, Ding, Lebewesen oder was es auch immer die einzige, nicht nur das eine, aller wichtigste Sache, Ding, Lebewesen oder was es auch immer ist, jedenfalls nur 1 ist es. Der monotheistische Gott selbst? (die 4 Buchstaben des jüdischen Gottes)?;;;;;;;;;;;;
;;;;;keine Ahnung, ob das stimmt: beliebig verzweigte Graph-Datenstruktur, Baumdatenstruktur;;;;;;;;;;;;
;;;;;Ist eher falsch: so genannte Prädikate aus der Prädikatenlogik und damit auch Relationen aus der Computerwissenschaft;;;;;;;;;;;;
;;;;;Ist eher falsch: kontextfreie Sprache und Grammatik, nicht deterministischer Kellerautomat, Negation (13) muss nicht gegeben sein, da es die Bedingung nicht gibt, dass bei Komplementbildung so genannte Abgeschlossenheit gelten müsse. ;;;;;;;;;;;;
;;;;;Ist eher falsch: die anderen 3 übrigen Grammatiken und Sprachen aus der Chomsky-Hierarchie, Turingmaschine, endlicher Automat, Negation (13) ist notwendig, da diese 3 Sachen bei Komplementbildung immer abgeschlossen sein müssen. Negation entspricht u.a. Komplementbildung. ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;Systematik (halb sicher);;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;Nicht sehr sicher: Tensor und Matrix, aber vielleicht braucht man dafür gar nicht die 7, die Richtung, sondern 6 und 8 reicht womöglich;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;nicht Vergleich, aber tatsächliche Gleichheit / Ungleichheit (1-4 ist Welt und nicht Analyse der Welt) (größtenteils sicher);;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;Existenzialien (Sturuktualie), das Greifbare (Galaxiewort) (beides größtenteils sicher);;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;alles das größtenteils sicher: 1. Das Feld (mathematisch) ohne Feldstärken, d.h. Vektorfeld ohne Vektor, nur mit Richtnug des Vektors, aber ohne dessen Betrag, 2. der Gemeinsinn (lat. sensus communis) (1. Gemeinwohl, 2. innere Instanz, die einzelne Sinneseindrücke integriert, 3. Gesunder Menschenverstand), 3. (orientiert zu sein, Orientiertheit vom Inneren und Reinheit im Inneren);;;;;;;;;;;;
;;;;;alles das größtenteils sicher: gleichgeschaltet sein wollen, mathematisch die Homogenität, (Übersichtlichkeit, Orientierbarkeit im Äußeren);;;;;;;;;;;;
;;;;;alles das größtenteils sicher: Koordinaten (mathematisch), die Stellung (z.B. in sozialer Hierarchie, etc.), die Qualifikation (ich bin mir sicher);;;;;;;;;;;;
;;;;;alles das größtenteils sicher: Vektorfeld bzw. Feld mit Feldstärke;;;;;;;;;;;;
;;;;;alles das größtenteils sicher: Dichte (Strukturalie oder so), Synchronizität in Stärke (auch als Strukturalie) (d.h. alles das ist: alles Pures hohen Wertes, Wert der Pur ist, Reinheit im Sinn von Pur, also allgemeiner);;;;;;;;;;;;
;;;;;Konstanz (identische Veränderung) (ich bin mir sicher);;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
